classIDx,video_name,image_name,frame_idx,inter_neg_score,inter_pos_score,intra_score,score,mean_score,std_score,min_score,max_score
0,c01_20210204062142,c01_20210204062142_3,3,0.89241505,0.8873068,0.7167227,-0.17569,-0.10858,0.05702,-0.20028,-0.04282
0,c01_20210204062142,c01_20210204062142_4,4,0.8907573,0.8823475,0.71166074,-0.1791,-0.11249,0.05859,-0.20636,-0.04085
0,c01_20210204062142,c01_20210204062142_5,5,0.8959478,0.88643664,0.7221844,-0.17376,-0.10709,0.05052,-0.17376,-0.04238
0,c01_20210204062142,c01_20210204062142_8,8,0.87691015,0.8710128,0.6584158,-0.21849,-0.16476,0.05168,-0.25375,-0.11497
0,c01_20210204062142,c01_20210204062142_9,9,0.8598416,0.8571198,0.60905457,-0.25079,-0.18822,0.06753,-0.30141,-0.11722
0,c01_20210204062142,c01_20210204062142_10,10,0.83252525,0.8539755,0.6122334,-0.24174,-0.18895,0.05975,-0.30633,-0.13045
0,c01_20210204062142,c01_20210204062142_12,12,0.83944434,0.8567805,0.6487017,-0.20808,-0.1688,0.05801,-0.26644,-0.09597
0,c01_20210204062142,c01_20210204062142_13,13,0.86621624,0.8571618,0.6270624,-0.23915,-0.16497,0.06804,-0.28659,-0.09077
0,c01_20210204062142,c01_20210204062142_17,17,0.8425462,0.8187936,0.64769495,-0.19485,-0.16575,0.0568,-0.28453,-0.10401
0,c01_20210204062142,c01_20210204062142_19,19,0.83796525,0.853618,0.73153245,-0.12209,-0.2055,0.05815,-0.31703,-0.12209
0,c01_20210204062142,c01_20210204062142_24,24,0.8734961,0.8710768,0.71510744,-0.15839,-0.1305,0.05045,-0.21239,-0.08229
0,c01_20210204062142,c01_20210204062142_32,32,0.8575077,0.8797845,0.7192141,-0.16057,-0.13018,0.05177,-0.21886,-0.05577
0,c01_20210204062142,c01_20210204062142_33,33,0.8630733,0.8886147,0.7004772,-0.18814,-0.14562,0.07656,-0.26771,-0.06012
0,c01_20210204062142,c01_20210204062142_46,46,0.8374444,0.88578,0.71326494,-0.17252,-0.1155,0.0605,-0.2099,-0.02594
0,c01_20210204062142,c01_20210204062142_56,56,0.832664,0.85344535,0.64180803,-0.21164,-0.17386,0.05337,-0.27169,-0.12369
0,c01_20210204062142,c01_20210204062142_62,62,0.8715819,0.8848096,0.70146596,-0.18334,-0.11906,0.0539,-0.21905,-0.06891
0,c01_20210204062142,c01_20210204062142_98,98,0.8684633,0.8902235,0.6842591,-0.20596,-0.13384,0.05684,-0.2309,-0.07149
0,c01_20210204062142,c01_20210204062142_99,99,0.8883427,0.9362621,0.6767113,-0.25955,-0.14922,0.07278,-0.25955,-0.07228
0,c01_20210205062047,c01_20210205062047_1,1,0.8705528,0.8732776,0.7809178,-0.09236,-0.07801,0.06506,-0.19024,-0.02103
0,c01_20210205062047,c01_20210205062047_2,2,0.8628941,0.8787124,0.74762976,-0.13108,-0.10804,0.05823,-0.20351,-0.04265
0,c01_20210205062047,c01_20210205062047_3,3,0.8666796,0.87733734,0.74435127,-0.13299,-0.10858,0.05702,-0.20028,-0.04282
0,c01_20210205062047,c01_20210205062047_4,4,0.86635935,0.8789991,0.7391007,-0.1399,-0.11249,0.05859,-0.20636,-0.04085
0,c01_20210205062047,c01_20210205062047_5,5,0.8692713,0.8833289,0.7433983,-0.13993,-0.10709,0.05052,-0.17376,-0.04238
0,c01_20210205062047,c01_20210205062047_8,8,0.8780798,0.88069224,0.68981326,-0.19088,-0.16476,0.05168,-0.25375,-0.11497
0,c01_20210205062047,c01_20210205062047_9,9,0.86880666,0.85517675,0.6373035,-0.2315,-0.18822,0.06753,-0.30141,-0.11722
0,c01_20210205062047,c01_20210205062047_10,10,0.840086,0.8268268,0.6415524,-0.19853,-0.18895,0.05975,-0.30633,-0.13045
0,c01_20210205062047,c01_20210205062047_12,12,0.8747225,0.8688717,0.65656424,-0.21816,-0.1688,0.05801,-0.26644,-0.09597
0,c01_20210205062047,c01_20210205062047_13,13,0.8302083,0.8405099,0.66153204,-0.17898,-0.16497,0.06804,-0.28659,-0.09077
0,c01_20210205062047,c01_20210205062047_17,17,0.8427772,0.8644012,0.7603867,-0.10401,-0.16575,0.0568,-0.28453,-0.10401
0,c01_20210205062047,c01_20210205062047_19,19,0.8993163,0.8924376,0.74869764,-0.15062,-0.2055,0.05815,-0.31703,-0.12209
0,c01_20210205062047,c01_20210205062047_24,24,0.877502,0.8623507,0.69024944,-0.18725,-0.1305,0.05045,-0.21239,-0.08229
0,c01_20210205062047,c01_20210205062047_32,32,0.8500994,0.8619237,0.6904446,-0.17148,-0.13018,0.05177,-0.21886,-0.05577
0,c01_20210205062047,c01_20210205062047_33,33,0.8466913,0.8725184,0.70940304,-0.16312,-0.14562,0.07656,-0.26771,-0.06012
0,c01_20210205062047,c01_20210205062047_46,46,0.8575569,0.87475055,0.7303955,-0.14436,-0.1155,0.0605,-0.2099,-0.02594
0,c01_20210205062047,c01_20210205062047_56,56,0.87053156,0.8849421,0.67522335,-0.20972,-0.17386,0.05337,-0.27169,-0.12369
0,c01_20210205062047,c01_20210205062047_62,62,0.8745978,0.88730633,0.78504854,-0.10226,-0.11906,0.0539,-0.21905,-0.06891
0,c01_20210205062047,c01_20210205062047_98,98,0.841117,0.85073614,0.71518874,-0.13555,-0.13384,0.05684,-0.2309,-0.07149
0,c01_20210205062047,c01_20210205062047_99,99,0.8759705,0.90030503,0.7217279,-0.17858,-0.14922,0.07278,-0.25955,-0.07228
0,c01_20210206062651,c01_20210206062651_1,1,0.90976584,0.91782004,0.7275802,-0.19024,-0.07801,0.06506,-0.19024,-0.02103
0,c01_20210206062651,c01_20210206062651_2,2,0.89515257,0.9196124,0.7161026,-0.20351,-0.10804,0.05823,-0.20351,-0.04265
0,c01_20210206062651,c01_20210206062651_3,3,0.8938591,0.91700315,0.7167227,-0.20028,-0.10858,0.05702,-0.20028,-0.04282
0,c01_20210206062651,c01_20210206062651_4,4,0.8940939,0.9180183,0.71166074,-0.20636,-0.11249,0.05859,-0.20636,-0.04085
0,c01_20210206062651,c01_20210206062651_5,5,0.8883009,0.89507914,0.7221844,-0.17289,-0.10709,0.05052,-0.17376,-0.04238
0,c01_20210206062651,c01_20210206062651_8,8,0.90987504,0.91216147,0.6584158,-0.25375,-0.16476,0.05168,-0.25375,-0.11497
0,c01_20210206062651,c01_20210206062651_9,9,0.90234363,0.91046816,0.60905457,-0.30141,-0.18822,0.06753,-0.30141,-0.11722
0,c01_20210206062651,c01_20210206062651_10,10,0.91490996,0.9185605,0.6122334,-0.30633,-0.18895,0.05975,-0.30633,-0.13045
0,c01_20210206062651,c01_20210206062651_12,12,0.89605963,0.91513795,0.6487017,-0.26644,-0.1688,0.05801,-0.26644,-0.09597
0,c01_20210206062651,c01_20210206062651_13,13,0.8989514,0.9136493,0.6270624,-0.28659,-0.16497,0.06804,-0.28659,-0.09077
0,c01_20210206062651,c01_20210206062651_17,17,0.8933103,0.9322259,0.64769495,-0.28453,-0.16575,0.0568,-0.28453,-0.10401
0,c01_20210206062651,c01_20210206062651_19,19,0.94987106,0.95764804,0.64061606,-0.31703,-0.2055,0.05815,-0.31703,-0.12209
0,c01_20210206062651,c01_20210206062651_24,24,0.9026444,0.8902813,0.69024944,-0.21239,-0.1305,0.05045,-0.21239,-0.08229
0,c01_20210206062651,c01_20210206062651_32,32,0.9093083,0.9064684,0.6904446,-0.21886,-0.13018,0.05177,-0.21886,-0.05577
0,c01_20210206062651,c01_20210206062651_33,33,0.9276284,0.9121305,0.65992093,-0.26771,-0.14562,0.07656,-0.26771,-0.06012
0,c01_20210206062651,c01_20210206062651_46,46,0.9231626,0.9040285,0.71326494,-0.2099,-0.1155,0.0605,-0.2099,-0.02594
0,c01_20210206062651,c01_20210206062651_56,56,0.91349983,0.9108395,0.64180803,-0.27169,-0.17386,0.05337,-0.27169,-0.12369
0,c01_20210206062651,c01_20210206062651_62,62,0.90490973,0.92051584,0.70146596,-0.21905,-0.11906,0.0539,-0.21905,-0.06891
0,c01_20210206062651,c01_20210206062651_98,98,0.9004415,0.91515636,0.6842591,-0.2309,-0.13384,0.05684,-0.2309,-0.07149
0,c01_20210206062651,c01_20210206062651_99,99,0.90824556,0.92080677,0.6767113,-0.2441,-0.14922,0.07278,-0.25955,-0.07228
0,c01_20210207062207,c01_20210207062207_1,1,0.8279532,0.8445567,0.81970465,-0.02485,-0.07801,0.06506,-0.19024,-0.02103
0,c01_20210207062207,c01_20210207062207_2,2,0.8336865,0.84510136,0.77674913,-0.06835,-0.10804,0.05823,-0.20351,-0.04265
0,c01_20210207062207,c01_20210207062207_3,3,0.8465098,0.85686433,0.77596164,-0.0809,-0.10858,0.05702,-0.20028,-0.04282
0,c01_20210207062207,c01_20210207062207_4,4,0.8490557,0.8584752,0.77153856,-0.08694,-0.11249,0.05859,-0.20636,-0.04085
0,c01_20210207062207,c01_20210207062207_5,5,0.84806705,0.85401845,0.78200424,-0.07201,-0.10709,0.05052,-0.17376,-0.04238
0,c01_20210207062207,c01_20210207062207_8,8,0.85659826,0.8507742,0.73348546,-0.12311,-0.16476,0.05168,-0.25375,-0.11497
0,c01_20210207062207,c01_20210207062207_9,9,0.8348564,0.8384869,0.7046659,-0.13382,-0.18822,0.06753,-0.30141,-0.11722
0,c01_20210207062207,c01_20210207062207_10,10,0.81602484,0.8392976,0.69367087,-0.14563,-0.18895,0.05975,-0.30633,-0.13045
0,c01_20210207062207,c01_20210207062207_12,12,0.85096705,0.85464096,0.7300006,-0.12464,-0.1688,0.05801,-0.26644,-0.09597
0,c01_20210207062207,c01_20210207062207_13,13,0.84972656,0.8613124,0.73360294,-0.12771,-0.16497,0.06804,-0.28659,-0.09077
0,c01_20210207062207,c01_20210207062207_17,17,0.82343173,0.8496194,0.71630704,-0.13331,-0.16575,0.0568,-0.28453,-0.10401
0,c01_20210207062207,c01_20210207062207_19,19,0.842304,0.87005055,0.68479717,-0.18525,-0.2055,0.05815,-0.31703,-0.12209
0,c01_20210207062207,c01_20210207062207_24,24,0.8474658,0.8541524,0.75566286,-0.09849,-0.1305,0.05045,-0.21239,-0.08229
0,c01_20210207062207,c01_20210207062207_32,32,0.824101,0.8310977,0.73183286,-0.09926,-0.13018,0.05177,-0.21886,-0.05577
0,c01_20210207062207,c01_20210207062207_33,33,0.84694815,0.8684991,0.65992093,-0.20858,-0.14562,0.07656,-0.26771,-0.06012
0,c01_20210207062207,c01_20210207062207_46,46,0.840957,0.8376032,0.8150143,-0.02594,-0.1155,0.0605,-0.2099,-0.02594
0,c01_20210207062207,c01_20210207062207_56,56,0.85035026,0.8785759,0.7326926,-0.14588,-0.17386,0.05337,-0.27169,-0.12369
0,c01_20210207062207,c01_20210207062207_62,62,0.86216307,0.8522322,0.7665845,-0.09558,-0.11906,0.0539,-0.21905,-0.06891
0,c01_20210207062207,c01_20210207062207_98,98,0.8450149,0.8263928,0.7735256,-0.07149,-0.13384,0.05684,-0.2309,-0.07149
0,c01_20210207062207,c01_20210207062207_99,99,0.8600465,0.84186995,0.7399165,-0.12013,-0.14922,0.07278,-0.25955,-0.07228
0,c01_20210208061745,c01_20210208061745_1,1,0.8363681,0.8424089,0.81373715,-0.02867,-0.07801,0.06506,-0.19024,-0.02103
0,c01_20210208061745,c01_20210208061745_2,2,0.8393044,0.8458258,0.7882464,-0.05758,-0.10804,0.05823,-0.20351,-0.04265
0,c01_20210208061745,c01_20210208061745_3,3,0.8321755,0.85038835,0.7949132,-0.05548,-0.10858,0.05702,-0.20028,-0.04282
0,c01_20210208061745,c01_20210208061745_4,4,0.8319818,0.850072,0.7909447,-0.05913,-0.11249,0.05859,-0.20636,-0.04085
0,c01_20210208061745,c01_20210208061745_5,5,0.82788277,0.8391384,0.779804,-0.05933,-0.10709,0.05052,-0.17376,-0.04238
0,c01_20210208061745,c01_20210208061745_8,8,0.8502692,0.85692716,0.73210156,-0.12483,-0.16476,0.05168,-0.25375,-0.11497
0,c01_20210208061745,c01_20210208061745_9,9,0.83600974,0.8521799,0.7349638,-0.11722,-0.18822,0.06753,-0.30141,-0.11722
0,c01_20210208061745,c01_20210208061745_10,10,0.81282294,0.8353601,0.7049085,-0.13045,-0.18895,0.05975,-0.30633,-0.13045
0,c01_20210208061745,c01_20210208061745_12,12,0.8571286,0.8650105,0.7448792,-0.12013,-0.1688,0.05801,-0.26644,-0.09597
0,c01_20210208061745,c01_20210208061745_13,13,0.8473532,0.8556101,0.7648363,-0.09077,-0.16497,0.06804,-0.28659,-0.09077
0,c01_20210208061745,c01_20210208061745_17,17,0.81805164,0.8579744,0.70384514,-0.15413,-0.16575,0.0568,-0.28453,-0.10401
0,c01_20210208061745,c01_20210208061745_19,19,0.83604705,0.86717117,0.64843094,-0.21874,-0.2055,0.05815,-0.31703,-0.12209
0,c01_20210208061745,c01_20210208061745_24,24,0.83857834,0.83443964,0.75543237,-0.08315,-0.1305,0.05045,-0.21239,-0.08229
0,c01_20210208061745,c01_20210208061745_32,32,0.8196777,0.82521,0.7111038,-0.11411,-0.13018,0.05177,-0.21886,-0.05577
0,c01_20210208061745,c01_20210208061745_33,33,0.8289503,0.8299363,0.7655837,-0.06435,-0.14562,0.07656,-0.26771,-0.06012
0,c01_20210208061745,c01_20210208061745_46,46,0.82961607,0.8312067,0.7168866,-0.11432,-0.1155,0.0605,-0.2099,-0.02594
0,c01_20210208061745,c01_20210208061745_56,56,0.8929173,0.8950443,0.7686307,-0.12641,-0.17386,0.05337,-0.27169,-0.12369
0,c01_20210208061745,c01_20210208061745_62,62,0.84630287,0.85778445,0.76763314,-0.09015,-0.11906,0.0539,-0.21905,-0.06891
0,c01_20210208061745,c01_20210208061745_98,98,0.85444045,0.86461985,0.7765315,-0.08809,-0.13384,0.05684,-0.2309,-0.07149
0,c01_20210208061745,c01_20210208061745_99,99,0.8428244,0.83745277,0.7705457,-0.07228,-0.14922,0.07278,-0.25955,-0.07228
0,c01_20210211062434,c01_20210211062434_1,1,0.84803724,0.8493797,0.8283457,-0.02103,-0.07801,0.06506,-0.19024,-0.02103
0,c01_20210211062434,c01_20210211062434_2,2,0.8382,0.83221436,0.7955488,-0.04265,-0.10804,0.05823,-0.20351,-0.04265
0,c01_20210211062434,c01_20210211062434_3,3,0.8361843,0.8455509,0.80272776,-0.04282,-0.10858,0.05702,-0.20028,-0.04282
0,c01_20210211062434,c01_20210211062434_4,4,0.8436686,0.84923637,0.80838454,-0.04085,-0.11249,0.05859,-0.20636,-0.04085
0,c01_20210211062434,c01_20210211062434_5,5,0.8346905,0.84557384,0.8031951,-0.04238,-0.10709,0.05052,-0.17376,-0.04238
0,c01_20210211062434,c01_20210211062434_8,8,0.8420714,0.8433884,0.7284148,-0.11497,-0.16476,0.05168,-0.25375,-0.11497
0,c01_20210211062434,c01_20210211062434_9,9,0.8324711,0.8333689,0.713559,-0.11981,-0.18822,0.06753,-0.30141,-0.11722
0,c01_20210211062434,c01_20210211062434_10,10,0.82701266,0.8451576,0.6951504,-0.15001,-0.18895,0.05975,-0.30633,-0.13045
0,c01_20210211062434,c01_20210211062434_12,12,0.85049367,0.85507584,0.7068707,-0.14821,-0.1688,0.05801,-0.26644,-0.09597
0,c01_20210211062434,c01_20210211062434_13,13,0.8466768,0.8719316,0.7465943,-0.12534,-0.16497,0.06804,-0.28659,-0.09077
0,c01_20210211062434,c01_20210211062434_17,17,0.8356477,0.8501334,0.7349831,-0.11515,-0.16575,0.0568,-0.28453,-0.10401
0,c01_20210211062434,c01_20210211062434_19,19,0.84447354,0.8767568,0.6471602,-0.2296,-0.2055,0.05815,-0.31703,-0.12209
0,c01_20210211062434,c01_20210211062434_24,24,0.8380543,0.86185217,0.7703376,-0.09151,-0.1305,0.05045,-0.21239,-0.08229
0,c01_20210211062434,c01_20210211062434_32,32,0.82127213,0.829779,0.77400553,-0.05577,-0.13018,0.05177,-0.21886,-0.05577
0,c01_20210211062434,c01_20210211062434_33,33,0.82181835,0.82129467,0.7616999,-0.06012,-0.14562,0.07656,-0.26771,-0.06012
0,c01_20210211062434,c01_20210211062434_46,46,0.83846164,0.8473758,0.75943756,-0.08794,-0.1155,0.0605,-0.2099,-0.02594
0,c01_20210211062434,c01_20210211062434_56,56,0.87053466,0.89746785,0.7694684,-0.128,-0.17386,0.05337,-0.27169,-0.12369
0,c01_20210211062434,c01_20210211062434_62,62,0.83980405,0.8575617,0.7886472,-0.06891,-0.11906,0.0539,-0.21905,-0.06891
0,c01_20210211062434,c01_20210211062434_98,98,0.8502991,0.86288625,0.7649152,-0.09797,-0.13384,0.05684,-0.2309,-0.07149
0,c01_20210211062434,c01_20210211062434_99,99,0.8615545,0.84643865,0.77930343,-0.08225,-0.14922,0.07278,-0.25955,-0.07228
1,c01_20210130081629,c01_20210130081629_7,7,0.87380654,0.8852769,0.808264,-0.07701,-0.13054,0.06227,-0.23431,-0.05152
1,c01_20210130081629,c01_20210130081629_8,8,0.873469,0.8852223,0.80738145,-0.07784,-0.12986,0.06016,-0.23152,-0.05541
1,c01_20210130081629,c01_20210130081629_9,9,0.87343234,0.8851492,0.80823505,-0.07691,-0.13028,0.06082,-0.23246,-0.05494
1,c01_20210130081629,c01_20210130081629_17,17,0.851652,0.8807963,0.7217704,-0.15903,-0.20778,0.07596,-0.32917,-0.09158
1,c01_20210130081629,c01_20210130081629_20,20,0.8261442,0.8417909,0.6000253,-0.24177,-0.22377,0.0729,-0.35478,-0.09025
1,c01_20210130081629,c01_20210130081629_23,23,0.8443265,0.87044364,0.74546033,-0.12498,-0.13367,0.05832,-0.2143,-0.04888
1,c01_20210130081629,c01_20210130081629_24,24,0.84691954,0.88675517,0.79244363,-0.09431,-0.13213,0.06007,-0.21616,-0.04559
1,c01_20210130081629,c01_20210130081629_25,25,0.8474432,0.88801986,0.7952823,-0.09274,-0.13191,0.0601,-0.2159,-0.04474
1,c01_20210130081629,c01_20210130081629_62,62,0.77088904,0.7823437,0.6535566,-0.12879,-0.13937,0.05578,-0.25392,-0.07352
1,c01_20210130081629,c01_20210130081629_95,95,0.8778012,0.87465274,0.6815308,-0.19627,-0.23942,0.05539,-0.34327,-0.15443
1,c01_20210130081629,c01_20210130081629_96,96,0.8532245,0.8380851,0.65852106,-0.1947,-0.24677,0.05437,-0.36291,-0.18325
1,c01_20210130081629,c01_20210130081629_105,105,0.8938911,0.87586427,0.66293097,-0.23096,-0.28074,0.05172,-0.35067,-0.20586
1,c01_20210130081629,c01_20210130081629_106,106,0.87137836,0.85014737,0.69150466,-0.17987,-0.25677,0.0554,-0.35333,-0.17987
1,c01_20210130081629,c01_20210130081629_107,107,0.851184,0.8471104,0.6631329,-0.18805,-0.26509,0.0525,-0.34768,-0.18805
1,c01_20210130081629,c01_20210130081629_108,108,0.85174894,0.85100687,0.63198197,-0.21977,-0.27529,0.05484,-0.35841,-0.17453
1,c01_20210130081629,c01_20210130081629_110,110,0.856843,0.8695519,0.6349666,-0.23459,-0.3021,0.05086,-0.38108,-0.23459
1,c01_20210130081629,c01_20210130081629_113,113,0.86476976,0.85140616,0.63740194,-0.22737,-0.26258,0.05309,-0.35132,-0.17981
1,c01_20210201082747,c01_20210201082747_7,7,0.8737773,0.8757197,0.8014325,-0.07429,-0.13054,0.06227,-0.23431,-0.05152
1,c01_20210201082747,c01_20210201082747_8,8,0.8732474,0.87572616,0.8020849,-0.07364,-0.12986,0.06016,-0.23152,-0.05541
1,c01_20210201082747,c01_20210201082747_9,9,0.8736935,0.8763163,0.8021672,-0.07415,-0.13028,0.06082,-0.23246,-0.05494
1,c01_20210201082747,c01_20210201082747_17,17,0.8442097,0.85994077,0.76835704,-0.09158,-0.20778,0.07596,-0.32917,-0.09158
1,c01_20210201082747,c01_20210201082747_20,20,0.8238577,0.8471235,0.60174453,-0.24538,-0.22377,0.0729,-0.35478,-0.09025
1,c01_20210201082747,c01_20210201082747_23,23,0.8242374,0.85595447,0.7258334,-0.13012,-0.13367,0.05832,-0.2143,-0.04888
1,c01_20210201082747,c01_20210201082747_24,24,0.8237279,0.8540083,0.72397006,-0.13004,-0.13213,0.06007,-0.21616,-0.04559
1,c01_20210201082747,c01_20210201082747_25,25,0.8268948,0.85705364,0.7321429,-0.12491,-0.13191,0.0601,-0.2159,-0.04474
1,c01_20210201082747,c01_20210201082747_62,62,0.78397983,0.8158711,0.73494315,-0.08093,-0.13937,0.05578,-0.25392,-0.07352
1,c01_20210201082747,c01_20210201082747_95,95,0.8713306,0.86489296,0.67490435,-0.19643,-0.23942,0.05539,-0.34327,-0.15443
1,c01_20210201082747,c01_20210201082747_96,96,0.8689185,0.8629469,0.65071714,-0.2182,-0.24677,0.05437,-0.36291,-0.18325
1,c01_20210201082747,c01_20210201082747_105,105,0.8659836,0.8849525,0.62428397,-0.26067,-0.28074,0.05172,-0.35067,-0.20586
1,c01_20210201082747,c01_20210201082747_106,106,0.8637372,0.8656924,0.625502,-0.24019,-0.25677,0.0554,-0.35333,-0.17987
1,c01_20210201082747,c01_20210201082747_107,107,0.8657365,0.8694052,0.62342405,-0.24598,-0.26509,0.0525,-0.34768,-0.18805
1,c01_20210201082747,c01_20210201082747_108,108,0.88974285,0.8730397,0.6103791,-0.27936,-0.27529,0.05484,-0.35841,-0.17453
1,c01_20210201082747,c01_20210201082747_110,110,0.875516,0.87912464,0.60914177,-0.26998,-0.3021,0.05086,-0.38108,-0.23459
1,c01_20210201082747,c01_20210201082747_113,113,0.8756147,0.8898105,0.7100003,-0.17981,-0.26258,0.05309,-0.35132,-0.17981
1,c01_20210202083021,c01_20210202083021_7,7,0.9281957,0.9377086,0.7034002,-0.23431,-0.13054,0.06227,-0.23431,-0.05152
1,c01_20210202083021,c01_20210202083021_8,8,0.9271432,0.9368019,0.70528394,-0.23152,-0.12986,0.06016,-0.23152,-0.05541
1,c01_20210202083021,c01_20210202083021_9,9,0.92725056,0.93686104,0.7043981,-0.23246,-0.13028,0.06082,-0.23246,-0.05494
1,c01_20210202083021,c01_20210202083021_17,17,0.9304484,0.92790115,0.61111104,-0.31934,-0.20778,0.07596,-0.32917,-0.09158
1,c01_20210202083021,c01_20210202083021_20,20,0.851335,0.8804438,0.7533027,-0.12714,-0.22377,0.0729,-0.35478,-0.09025
1,c01_20210202083021,c01_20210202083021_23,23,0.9295707,0.914683,0.7153369,-0.21423,-0.13367,0.05832,-0.2143,-0.04888
1,c01_20210202083021,c01_20210202083021_24,24,0.9295707,0.914683,0.7150169,-0.21455,-0.13213,0.06007,-0.21616,-0.04559
1,c01_20210202083021,c01_20210202083021_25,25,0.9295707,0.914683,0.71367085,-0.2159,-0.13191,0.0601,-0.2159,-0.04474
1,c01_20210202083021,c01_20210202083021_62,62,0.854259,0.86126393,0.78652954,-0.07473,-0.13937,0.05578,-0.25392,-0.07352
1,c01_20210202083021,c01_20210202083021_95,95,0.90879875,0.9048729,0.60719,-0.30161,-0.23942,0.05539,-0.34327,-0.15443
1,c01_20210202083021,c01_20210202083021_96,96,0.90717864,0.9025161,0.5949025,-0.31228,-0.24677,0.05437,-0.36291,-0.18325
1,c01_20210202083021,c01_20210202083021_105,105,0.9061827,0.9055115,0.58652353,-0.31966,-0.28074,0.05172,-0.35067,-0.20586
1,c01_20210202083021,c01_20210202083021_106,106,0.8911021,0.8915527,0.57874286,-0.31281,-0.25677,0.0554,-0.35333,-0.17987
1,c01_20210202083021,c01_20210202083021_107,107,0.8954314,0.89777756,0.58204436,-0.31573,-0.26509,0.0525,-0.34768,-0.18805
1,c01_20210202083021,c01_20210202083021_108,108,0.8920069,0.8954185,0.5799631,-0.31546,-0.27529,0.05484,-0.35841,-0.17453
1,c01_20210202083021,c01_20210202083021_110,110,0.91195315,0.9095876,0.5491009,-0.36285,-0.3021,0.05086,-0.38108,-0.23459
1,c01_20210202083021,c01_20210202083021_113,113,0.89654076,0.87583625,0.5962069,-0.30033,-0.26258,0.05309,-0.35132,-0.17981
1,c01_20210204082651,c01_20210204082651_7,7,0.87167037,0.87567914,0.8080647,-0.06761,-0.13054,0.06227,-0.23431,-0.05152
1,c01_20210204082651,c01_20210204082651_8,8,0.87167037,0.87567914,0.80830836,-0.06737,-0.12986,0.06016,-0.23152,-0.05541
1,c01_20210204082651,c01_20210204082651_9,9,0.8745469,0.8781022,0.8064698,-0.07163,-0.13028,0.06082,-0.23246,-0.05494
1,c01_20210204082651,c01_20210204082651_17,17,0.8170377,0.8394302,0.61328614,-0.22614,-0.20778,0.07596,-0.32917,-0.09158
